bent;fernand
bente;fernanda
bentley;fernande
bento;fernando
benton;fernão
benvenuto;ferne
beowulf;feroze
beppe;ferran
ber;ferrer
berach;ferruccio
berenice;fester
bergliot;festus
bergljot;ffion
berit;ffraid
berjouhi;fiachna
berk;fiachra
berkant;fiacre
berker;fiammetta
berlin;fidan
berna;fidda
bernadett;fidel
bernadette;fidelia
bernadine;fidelis
bernard;fidelma
bernardetta;fido
bernardine;fiera
bernardino;fife
bernardo;fifi
bernát;fihr
bernat;fikri
bernd;fikriyya
bernetta;filander
bernhard;filat
bernice;filbert
bernie;filep
berniece;filib
bernt;filibert
berry (1);filiberto
berry (2);filip
bert;filipa
berta;filipe
bertalan;filippo
bertha;fillin
berthe;filomena
berthold;fina
bertie;finbar
bertina;findlay
bertók;finella
bertoldo;fingal
bertram;fingall
bertrand;finlay
bertrando;finley
berwyn;finn
beryl;finnbar
bess;finnegan
bessie;finnén
beth;finnguala
bethan;finnian
bethania;finola
bethany;fintan
bethel;fion
bethney;fíona
bethuel;fiona
betrys;fionn
betsy;fionnbharr
bette;fionnghall
bettie;fionnghuala
bettina (1);fionnlagh
bettina (2);fionntán
bettino;fionnuala
betty;fionola
bettye;fioralba
beulah;fiorella
bevan;fiorenza
beverley;fiorenzo
beverly;firdaus
bevin;firdos
bevis;firenze
beylke;firmin
bhaltair;firmino
bharat;firoz
bhaskar;fishel
bhàtair;fishke
biaggio;fitz
biagino;fitzroy
biagio;fizza
bianca;flaithrí
bibiana;flann
bice;flannan
bich;flavia
biddy;flavian
bidelia;flavie
bienvenida;flavio
bijay;flavius
bijoy;flemming
bile;fletcher
bilge;fleur
bilhah;fleuretta
bill;flick
billie;flip
billy;flo
bindy;floella
bine;flora
binh;florence
binyamin;florencio
birger;florentin
birgit;florentina
birgitta;floretta
bithiah;florette
bjarne;florian
bjoern;floriana
björn;florianne
bjorne;floriano
blaanid;florin
blaine;florinda
blair;florine
blaise;floris
bláithín;florrie
blake;florry
blanca;flossie
blanch;flower
blanche;floyd
blanid;flurry
bláthnaid;foka
bláthnat;folami
blaze;folant
blazej;folke
blejan;foma
blodeuwedd;fonsie
blodeuyn;forbes
blodwen;ford
blondie;forest
blossom;forrest
bluma;fortunata
blythe;fortunato
bo (1);fortune
bo (2);foster
boadicea;fotis
boaz;fouad
bob;fox
bobbi;fran
bobbie;franc
bobby;franca
bodil;france
bogdan;francene
bogdana;frances
boghos;francesca
bogumil;francesco
boguslaw;franci
bohdan;francine
bohumir;francis
bohuslav;francisca
bohuslava;francisco
boipelo;franciscus
boitumelo;franciska
bojan;franck
bojana;franco
bolanle;françois
boldizsár;françoise
bolek;frang
boleslav;frangag
boleslava;frank
boleslaw;frankie
boleslawa;franklin
bolivar;franklyn
bonaventure;frannie
boniface;frans
bonifacio;franseza
bonifaz;frantisek
bonita;frantiska
bonnie;franz
booker;franziska
bopha;fraser
bora;frauke
borbála;fravardin
borghild;frazier
boris;frea
borislav;fred
börje;freda
borya;freddie
bosede;freddy
bosmat;frédéric
botros;frederica
botum;frederick
boudicca;frederico
boulos;frederik
boutros;frederikke
boyce;frédérique
boyd;fredo
bozidar;fredrick
bözsi;fredrik
bozydar;freek
brack;freeman
brad;freja
braden;frey
bradford;freya
bradley;freyde
brady;freyr
braeden;frida
braelyn;frideswide
brahma;fridrik
braiden;fridtjof
braidy;frieda
braith;friede
bram;friedemann
bran (1);friederike
bran (2);friedhelm
brand;friedhold
branda;friedrich
brande;frigg
branden;frigyes
brandi;fríða
brandie;friðrika
brandon;fritjof
brandt;fritz
brandy;fritzi
branimir;frode
branislav;fruma
branislava;fryderyk
branka;fu
branko;fuad
brannon;fulbert
brant;fulgencio
branwen;fulgenzio
bras;fulk
bratumil;fulke
brava;fülöp
braxton;fulton
brayden;fulvia
breana;fulvio
breandán;fyfe
breann;fyodor
breanna;gabby
breanne;gabe
breda;gabi
breindel;gabino
brenda;gabir
brendan;gábor
brenden;gabr
brendon;gábriel
brenna;gabriel
brennan;gabriela
brennus;gabriele (1)
brent;gabriele (2)
bret;gabriella
brett;gabrielle
briallen;gad
brian;gadar
briana;gae
brianna;gaea
brianne;gaenor
briar;gaétan
brice;gaetana
bríd;gaetane
bride;gaetano
bridger;gafar
bridget;gage
bridgette;gaia
bridie;gail
brielle;gaila
brigham;gaius
brighid;gaja
brigid;gal
brigida;gala
brigit;galadriel
brigitta;galahad
brigitte;galal
brin;gale
briony;galen
briscoe;galia
bristol;galila
britney;galina
britt;gall
britta;gallagher
brittani;gallus
brittany;galya
brittney;gamal
britton;gamaliel
brock;gamil
brodie;gamila
brody;ganesh
brogan;ganesha
bron;garbhán
brónach;gardenia
bronagh;gareth
bronislav;garey
bronislava;garfield
bronislaw;garland
bronislawa;garnet
bronte;garnette
bronwen;garret
bronwyn;garrett
brook;garrick
brooke;garry
brooklyn;garsha
brooks;garth
bruce;garvan
bruna;gary
brunella;gáspár
brunette;gaspar
brunhilde;gaspard
bruno;gaspare
brutus;gasparo
bryan;gasper
bryana;gaston
bryanna;gathbiyya
bryant;gauhar
bryce;gauri
bryn;gautam
brynja;gautama
brynmor;gautier
brynn;gavin
brynne;gavino
bryony;gavrel
bryson;gavriil
buck;gavril
bud;gawahir
buddy;gawain
budur;gawdat
buffy;gawel
bulus;gay
bulut;gaye
burcu;gayelord
burgundy;gayla
burkhard;gayle
burt;gaylord
burton;gaynor
buster;gazbiyya
buz;gazsi
byelobog;gbemisola
byrne;gearalt
byron;gearóid
bysshe;gebbert
cäcilia;gebhard
cade;geena
cadell;geert
caden;geffrey
cadence;gellért
cadeyrn;geltrude
cadfael;gemariah
cadfan;gemini
cadi;gemma
cadoc;gena
cadogan;gene
cadwalader;genesis
cadwgawn;genette
caecilia;geneva
caedmon;geneviève
caelestis;genevra
