cuauhtemoc;helen
cuc;helena
cuchulainn;hélène
culhwch;helene
cullen;helfried
cunégonde;helga
cunobelinus;helge
cupid;heliodoro
curro;helios
curt;hellä
curtis;hella
cuthbert;helladius
cy;hellen
cyan;helma
cybele;helmfrid
cybill;helmfried
cymbeline;helmi
cymone;helmine
cyndi;helmut
cyneburga;helmuth
cynefrið;héloïse
cynthia;hemi
cyprian;hemming
cyra;hena
cyrano;henda
cyriaca;hendel
cyriacus;henderson
cyril;hendrik
cyrilla;heng
cyrille;hengist
cyrus;henk
cystenian;hennie
czcibor;henning
czenzi;henri
czeslaw;henrietta
da;henriette
dacre;henrik
dada;henrike
daedalus;henrique
daffodil;henry
dafne;henryk
dafydd;henye
dag;hephaestus
dagda;hephzibah
dagfinn;hepsie
dagmar;hepzibah
dagny;hera
dagrun;heracleitus
dahlia;herakleides
dai;herakles
dàibhidh;herb
daichi;herbert
daina;herberto
dáire;herbie
dáiríne;hercule
daisy;hercules
daithí;hereward
daividh;heribert
dakarai;heriberto
dakota;herk
dalal;herleif
dale;herman
daley;hermann
dalia;hermanni
dalibor;hermenegildo
dallas;hermes
dalton;hermia
daly;hermine
dalya;hermione
damaris;hermogenes
damayanti;hermokrates
damhnait;hermolaos
damian;hernán
damiana;hernando
damiano;hero
damien;herod
damion;herodion
damodar;herodotus
damon;heron
dan (1);herschel
dan (2);hersh
dana (1);hershel
dana (2);hervé
danaë;hervey
danail;heshel
dand;hesiod
dane;hester
danette;hestia
dania;hettie
danica;heulog
dániel;heulwen
daniel;hewie
daniela;heydar
danièle;hezekiah
daniele;hiawatha
daniella;hiba
danielle;hideaki
daniil;hieronymus
danika;higini
danilo;hikari
danita;hikaru
dannie;hikmat
danny;hilaire
dante;hilaria
danut;hilary
danuta;hilbert
danya;hilda
daphne;hilde
dara (1);hildebrand
dara (2);hildegard
dara (3);hildegarde
darach;hildur
darby;hillary
darcey;hillel
darcy;hillevi
darden;hiltraud
dareia;hiltrud
darell;hiltrude
daren;hind
daria;hinrich
darian;hinrik
dariea;hipolito
darien;hippocrates
darin;hippolyta
darina;hippolyte
dario;hippolytos
darius;hiram
darja;hiroko
darla;hiroshi
darleen;hirsh
darlene;hisein
darnell;hisham
darrel;hitomi
darrell;hizkiah
darren;hjalmar
darrin;hjördis
darryl;hjörtur
darwin;hoa
darya;hodel
daryl;hohepa
dassah;hokolesqua
daud;holden
dave;holger
hollie;shaina
hollis;shaindel
holly;shakir
homer;shakira
honey;shakti
hòng;shakuntala
honor;shalom
honora;shama
honorata;shamgar
honoratus;shamira
honoré;shamus
honoria;shan
honorine;shana
honorius;shandar
honour;shane
hooda;shanelle
hopcyn;shanene
hope;shania
hopkin;shanice
horace;shanika
horacio;shankar
horatia;shankara
horatio;shanna
horatius;shannah
hormazd;shannon
hormazed;shanta
horsa;shantae
horst;shantel
hortense;shantelle
hortensia;shanti
horus;shaquille
hosanna;sharalyn
hosannah;shareef
hosea;shari
hoshi;sharif
hosni;sharifa
hotaka;sharise
hotaru;sharla
houda;sharleen
hourig;sharlene
houssam;sharma
hovhannes;sharmaine
hovsep;sharmila
howard;sharon
howell;sharona
howie;sharron
hoyt;sharyl
hrafn;sharyn
hristina;shashi
hrodohaidis;shaun
hrothgar;shauna
huan;shavonne
huang;shaw
hubert;shawn
hubrecht;shawna
huda;shawnda
hudes;shawnee
hudson;shay (1)
huey;shay (2)
huffie;shayla
hugh;shayna
hughie;shaynah
hugo;shea
hugues;sheamus
hulda (1);sheard
hulda (2);sheba
huldah;sheela
humbert;sheelagh
humphrey;sheena
humphry;sheenagh
hùng;sheherazade
hunter;shehrevar
huo;sheila
hùong;sheine
huppert;shekhar
hupprecht;shelagh
husain;shelby
husam;sheldon
husayn;shelena
husni;shelia
hussain;shell
hussein;shelley
huw;shelly
hyacinth;shem
hyacintha;shena
hyacinthe;sheona
hyam;sher
hyder;sherah
hyginus;sheree
hylda;shereen
hyledd;sheri
hyman;sheridan
hymie;sherie
hypatia;sherill
hyram;sherilyn
hyun;sherisse
hywel;sherley
iacchus;sherlock
iagan;sherman
iago;sherri
iain;sherrie
iakopa;sherry
ian;sheryl
iancu;shevaun
iantha;shevon
ianthe;shichiro
ianthina;shifra
ianto;shiloh
iarfhlaith;shimmel
iarlaith;shimon
iason;shimshon
ib;shin
ibbie;shinju
ibolya;shiphrah
ibraheem;shir
ibrahim;shira
ibtihaj;shireen
ibtisam;shirin
icarus;shirlee
ichabod;shirley
ichiro;shiro
ida;shirral
idan;shiva
íde;shlomo
idelle;shmuel
idesta;sho
idetta;shobha
idonea;sholto
idony;shona
idowu;shonda
idoya;shoshana
idril;shoshannah
idris;shprintza
idunn;shprintze
idwal;shprintzel
iefan;shripati
iekika;shug
iestyn;shui
ieuan;shukri
ifan;shukriyya
ife;shulamit
ige;shulamith
ignaas;shulammite
ignác;shun
ignace;shura
ignacio;shyam
ignacy;shyama
ignacz;shyla
ignasi;sian
ignatius;siana
ignatz;siani
ignazio;siarl
igor;siavush
ihab;sib
ihsan;sibéal
iida;sibilla
iikka;sibyl
iisakki;sibylla
ikaia;sibylle
ikaika;sid
ike;siddharta
ikraam;siddhartha
ila;sidney
ilan;sidonie
ilana;sidonius
ilar;sidony
ilari;sieffre
ilaria;siegbert
ilario;siegfried
ilbert;sieghard
ildikó;sieghild
ilean;sieglinde
ileana;siegmund
ileen;siemen
ilene;siena
ili;sienna
ilia;sierra
ilie;sif
ilinca;sigeberht
ilka;sigfrid
ilker;sigi
íllés;sigismund
illtyd;sigiswald
ilma;sigmund
ilona;signe
ilonka;signy
ilsa;sigrid
ilse;sigrún
ilya;sigrun
ima;sigurd
imaculada;sigvard
imad;silas
imam;síle
imamu;sìleas
iman;silja
imani;silje
imelda;silke
imen;silvana
imhotep;silvano
imke;silvanus
imma;silver
immacolata;silvester
immaculata;silvestra
immanuel;silvestre
imogen;silvestro
imogene;silvia
imre;silvija
imrus;silvio
ina;silviu
inácio;simão
iñaki;simba
in'am;simcha
inbar;simeon
inderjit;simge
inderpal;simin
india;simo
indiana;simon
indigo;simona
indira;simone (1)
indra;simone (2)
indrajit;simonetta
indrani;simonette
indy;sinclair
inés;sindre
inès;sindri
inês;sindy
inez;síne
ing;sìne
inga;sinéad
inge;sìneag
ingeborg;sini
ingegärd;siobhan
ingegerd;siofra
ingemar;sìoltach
inger;síomha
inglebert;siôn
ingmar;sioned
ingolf;siôr
ingram;siors
ingrid;siorus
ingvar;siothrún
ingvarr;sipho
inigo;siran
inka;siri
inkeri;sirius
inmaculada;sirvart
innes;sisel
innocent;sisko
innocenzo;sissie
innokenti;sissy
inocencio;sita
into;sitara
io;síthmaith
ioan;siv
ioana;sive
ioann;siwan
ioanna;sjurd
ioannes;sky
ioannis;skye
iokua;skylar
iola;skyler
iolana;sláine
iolanthe;slàine
iole;slavomir
iolo;slawomir
iolyn;sloan
íomhar;sloane
iomhar;sly
ion;sobieslaw
iona;socrates
ionatán;sofia
ione;sofie
ionel;sofija
ionela;sofiya
ionut;sofronio
iorwerth;sohail
iosif;sohrab
ipati;sol (1)
ippolit;sol (2)
ippolito;solange
iqbal;soledad
ira;solly
ireland;solomon
irén;solon
irena;solveig
iréné;solvej
irène;solvig
irene;somerled
irénée;somhairle
ireneus;sommer
ireneusz;sonal
irina;sondra
irinei;soner
iris;sonia
irit;sonja
irja;sonje
irma;sonnie
irmak;sonny
irmgard;sonya
irmhild;sopheap
irmtraud;sophia
irmtrud;sophie
irmuska;sophocles
irvin;sophronia
irvine;sophronius
irving;sophus
irwin;sophy
isa;sora
isaac;sorcha
isabel;søren
