kirstie;waldo
kirstin;walenty
kirsty;walid
kisecawchuck;walker
kisha;wallace
kishan;wallis
kishen;wally
kishore;walt
kishori;walter
kistna;walther
kit;walton
kitty;waltraud
kiyoko;wanda
kiyoshi;wapasha
kizzie;ward
kizzy;wardell
kjeld;warner
kjell;warren
kjellfrid;warwick
kjerstin;washington
kjetil;wasim
klaas;wassim
klaes;wasswa
klára;wat
klara;wawrzyniec
klaudia;wayland
klaus;waylon
klava;wayne
klavdija;webster
klavdiya;wei
kleitos;wekesa
klemen;weldon
klemens;wen
klementyna;wenceslas
kliment;wenda
klio;wendel
klotild;wendell
klytië;wendi
knud;wendy
knut;wenona
knute;wenonah
kobe;wenzel
kobina;wenzeslaus
kodey;wera
kody;werner
koen;werther
koenraad;wesley
kofi;weston
kohaku;whitaker
kohar;whitney
kohinoor;wibeke
kojo;wickaninnish
kolab;widad
kolby;wiebe
kole;wiebke
kolleen;wieland
kolman;wielislaw
kolour;wieslaw
kolya;wieslawa
kondrat;wigburg
konnor;wikolia
konrád;wiktor
konrad;wiktoria
konstantin;wil
konstantinos;wilbert
konstantyn;wilbur
koos;wilburn
koppel;wilda
kora;wiley
korbin;wilf
korbinian;wilford
körbl;wilfred
korë;wilfreda
korey;wilfredo
korina;wilfrid
korinna;wilfried
kornél;wilhelm
kornel;wilhelmina
kornélia;wilkie
kornelia;will
korrine;willa
kort;willard
kortney;willem
kory;william
kostandin;willie
kostya;willis
kourtney;willoughby
kreindel;willow
kresten;willy
kreszentia;wilma
kreszenz;wilmer
kriemhild;wilmot
kriemhilde;wilson
krikor;wilton
krimhilde;wim
kris;wincenty
krishna;windsor
krista;winfred
kristal;winfried
kristaps;winifred
kristeen;winnie
kristel;winnifred
kristen (1);winona
kristen (2);winston
krister;winter
kristi;winthrop
kristia;winton
kristian;wiremu
kristie;wisdom
kristiina;wislaw
kristin;witold (1)
kristina;witold (2)
kristine;wladyslaw
kristján;wlodek
kristjan;wlodzimierz
kristjana;wlodzislaw
kristóf;woden
kristoffer;wojciech
kristopher;wojtek
kristy;wolf
kristyna;wolfgang
krisztián;wolfram
krisztina;wolodymyr
krysia;woodrow
krystal;woody
krystina;wotan
krystine;wouter
krystle;wren
krystof;wright
krystyn;wu
krystyna;wyatt
krzys;wybert
krzysztof;wymond
ksawery;wyn
ksenia;wynfor
ksenija;wynn
kseniya;wynne
kshitij;wynonna
kuba;wynter
kudret;wystan
kukka;xabier
kumar;xander
kumari;xandra
kumiko;xanthe
kun;xanthia
kunal;xanthippe
kunegunda;xara
kunibert;xaver
kunigonde;xavia
kunigunde;xaviar
kuno;xavier
kunthea;xaviera
kunto;xavior
kuro;xena
kurt;xene
kurtis;xenia
kustaa;xenocrates
kuzma;xenon
kwabena;xenophon
kwadwo;xerxes
kwaku;xiang
kwame;ximena
kwasi;ximun
kweku;xiomara
kwesi;xoán
kyla;xochilt
kyle;xochipilli
kylee;xochiquetzal
kyleigh;xochitl
kyler;xosé
kylie;xuan
kyllikki;xue
kym;xun
kynaston;xyleena
kyösti;xylia
kyra;xylina
kyran;xzavier
kyriake;yaa
kyriaki;yachin
kyriakos;yachna
kyros;yadira
kyung-soon;yael
laban;yaffa
labhrainn;yahveh
labhrás;yahweh
lacey;yahya
lachie;yakim
lachina;yakov
lachlan;yale
lachtna;yan
lacy;yanick
ladislao;yankel
ladislas;yann
ladislaus;yannic
ladislav;yannick
ladonna;yannis
laelia;yarden
lærke;yardena
laetitia;yaromira
lagina;yaron
lahja;yaropolk
laia;yaroslav
laila;yaroslava
laima;yasamin
laird;yasha
lajos;yashmine
lake;yasir
lakeisha;yasmin
lakeshia;yasmina
lakisha;yasmine
lakshman;yasser
lakshmi;yasu
lal;yavuz
lala;yaw
lalage;yazmin
lalawethika;yechezkel
laleh;yehiel
lalit;yehudah
lalita;yehudi
lalla;yehudit
lallie;yejide
lally;yelena
lalo;yelizaveta
lambert;yen
lamech;yente
lamis;yentl
lammert;yered
lamont;yermolai
lamprecht;yesenia
lamya;yessenia
lan;yeva
lana;yevgeni
lance;yevgeniya
lancelot;yevgeny
landon;yewande
lane;yidel
lanford;yildiz
lành;yin
lani;yitzhak
lanny;ylva
lanty;yngvar
lanzo;yngve
laocadia;yoav
laoise;yochanan
lára;yoel
lara;yoko
laraine;yolanda
lareyna;yolande
lari;yolonda
larisa;yonah
larissa;yonatan
lark;yonca
larkin;yong
larrie;yorath
larry;yori
lars;yorick
lárus;york
laryn;yosef
lashawn;yoshi
lashonda;yoshiko
lasse;yoshiro
lassi;young
lászló;yousef
lata;youssef
latanya;yrjänä
latasha;yrjö
lateefah;ysabel
latif;yseult
latifa;yu
latifah;yudel
latisha;yuki
latonya;yukiko
latoya;yuko
launce;yulia
launo;yuliana
laura;yuliya
lauraine;yumi
laure;yun
laureen;yuri (1)
laurel;yuri (2)
laurelle;yuriy
lauren;yusef
laurena;yushua
laurence (1);yusra
laurence (2);yussel
laurencia;yusuf
laurenço;yutke
laurene;yuval
laurens;yvain
laurent;yves
laurentia;yvette
laurentine;yvo
laurentiu;yvon
laurentius;yvonne
lauressa;zabel
lauretta;zacarías
laurette;zacchaeus
lauri;zach
laurie;zachariah
laurinda;zacharias
laurine;zacharie
laurissa;zacharjasz
laurita;zachary
laurits;zachery
lauritz;zack
lauro;zackary
lauryn;zackery
lavena;zahir
lavender;zahira
lavern;zahra
laverna;zahrah
laverne;zaid
lavina;zaida
lavinia;zain
lavone;zaina
lavonne;zainab
lavra;zaira
lavrenti;zak
lavrentios;zakhar
lawahiz;zaki
lawanda;zakiah
lawrence;zakiyya
lawrie;zalman
lawson;zalmon
laxman;zan
laxmi;zander
layla;zandra
layton;zane
laz;zara
lázár;zaramama
lazar;zarathustra
lazare;zaray
lazarus;zareen
lazer;zaria
lazzaro;zarita
léa;zavanna
lea;zavia
leachlainn;zavier
leah;zayd
léan;zayn
leander;zayna
leandra;zaynab
léandre;zbigniew
leandro;zdenek
leann;zdenka
leanna;zdislav
