ronny;rosita
roope;roslyn
roopertti;ross
roosevelt;rossella
roque;rostislav
rórdán;roswell
rorie;roswitha
rory;rosy
ros;rowan
rosa;rowanne
rosabel;rowena
rosabella;rowina
rosalba;rowland
rosaleen;rowley
rosalia;roxana
rosalie;roxane
rosalin;roxanna
rosalina;roxanne
rosalind;roxie
rosalinda;roxy
rosaline;roy
rosalva;royal
rosalyn;royale
rosalynne;royce
rosamond;roydon
rosamund;royle
rosangela;royston
rosanna;roz
rosannah;róza
rosanne;roza
rosario;rozabela
roscoe;rozália
rose;rozalija
sadb;rozanne
saddam;roze
sadhbh;rózsa
sa'dia;rózsi
sadie;ru
saffie;ruadhán
saffron;ruaidhrí
safira;ruaidrí
sage;ruairí
sahar;ruairi
saibh;ruairidh
sa'id;ruaraidh
sa'ida;ruaridh
saiful;rube
saifullah;rubén
sakari;ruben
sakhr;rubena
saki;rubina
saku;ruby
sakura;rubye
sal;ruchel
salacia;rudi
salah;rüdiger
salal;rudo
salamon;rudolf
saleem;rudolph
saleh;rudy
salena;rudyard
salha;rue
salih;rufina
salim;rufino
salima;rufus
salina;ruggero
salli;ruggiero
sallie;rui
sally;rukmini
salma;runa
salman;rune
salomão;rupert
salomé;ruperta
salome;rupinder
salomea;ruqayya
rylan;rurik
rylee;ruslan
ryley;russ
ryo;russel
ryota;russell
ryszard;rustam
saara;rusty
sabah;rut
sabas;ruta
sabeen;rutger
sabella;ruth
sabia;ruthie
sabina;ruuben
sabine;ruud
sabino;ruxandra
sabrina;ruy
saburo;ryan
sacha;ryana
sachairi;ryanne
sachin;sacheverell
sa'd;sachie
sadaf;sachiko
